id,institution,ntaType,collegeOrCampus,city,programme,classXIIStatus,classXIIStream,classXIIRequiredSubjects,minimumMarks,cuetStatus,cuetAlternatives,counsellingRoute,seatStatus,historicalCutoffStatus,verificationStatus,sourceUrls,sourceTitles,sourcePagesOrSections,admissionYears,lastVerified,notes
"au-ba-combination-03","University of Allahabad","Central University","","","B.A.-PSYCHOLOGY DEFENCE STD. ENGLISH LANG.","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 10","2025","2026-07-14",""
"au-ba-combination-04","University of Allahabad","Central University","","","B.A.-SANSKRIT ANC. HISTORY POLITICAL SCIENCE","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 11","2025","2026-07-14",""
"au-ba-combination-05","University of Allahabad","Central University","","","B.A.-SANSKRIT HINDI ECONOMICS","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 12","2025","2026-07-14",""
"au-ba-combination-06","University of Allahabad","Central University","","","B.A.-SANSKRIT ENGLISH LIT. POLITICAL SCIENCE","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 13","2025","2026-07-14",""
"au-ba-combination-07","University of Allahabad","Central University","","","B.A.-SANSKRIT HINDI ANC. HISTORY","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 14","2025","2026-07-14",""
"au-ba-combination-08","University of Allahabad","Central University","","","B.A.-POLITICAL SCIENCE GEOGRAPHY ANTHROPOLOGY","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 15","2025","2026-07-14",""
"au-ba-combination-09","University of Allahabad","Central University","","","B.A.-SANSKRIT ENGLISH LIT. PHILOSOPHY","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 16","2025","2026-07-14",""
"au-ba-combination-10","University of Allahabad","Central University","","","B.A.-POLITICAL SCIENCE GEOGRAPHY ANC. HISTORY","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 17","2025","2026-07-14",""
"au-ba-combination-11","University of Allahabad","Central University","","","B.A.-HINDI ANC. HISTORY EDUCATION","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 18","2025","2026-07-14",""
"au-ba-combination-12","University of Allahabad","Central University","","","B.A.-POLITICAL SCIENCE DEFENCE STD. ANTHROPOLOGY","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 19","2025","2026-07-14",""
"au-ba-combination-13","University of Allahabad","Central University","","","B.A.-PHILOSOPHY ANC. HISTORY POLITICAL SCIENCE","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 20","2025","2026-07-14",""
"au-ba-combination-14","University of Allahabad","Central University","","","B.A.-SANSKRIT HINDI EDUCATION","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 21","2025","2026-07-14",""
"au-ba-combination-15","University of Allahabad","Central University","","","B.A.-GEOGRAPHY DEFENCE STD. PHILOSOPHY","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 22","2025","2026-07-14",""
"au-ba-combination-16","University of Allahabad","Central University","","","B.A.-GEOGRAPHY PSYCHOLOGY ENGLISH LIT.","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 23","2025","2026-07-14",""
"au-ba-combination-17","University of Allahabad","Central University","","","B.A.-GEOGRAPHY DEFENCE STD. ENGLISH LIT.","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 24","2025","2026-07-14",""
"au-ba-combination-18","University of Allahabad","Central University","","","B.A.-GEOGRAPHY DEFENCE STD. ENGLISH LANG.","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 25","2025","2026-07-14",""
"au-ba-combination-19","University of Allahabad","Central University","","","B.A.-GEOGRAPHY DEFENCE STD. ANC. HISTORY","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 26","2025","2026-07-14",""
"au-ba-combination-20","University of Allahabad","Central University","","","B.A.-ENGLISH LIT. PHILOSOPHY POLITICAL SCIENCE","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 27","2025","2026-07-14",""
"au-ba-combination-21","University of Allahabad","Central University","","","B.A.-POLITICAL SCIENCE DEFENCE STD. PHILOSOPHY","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 28","2025","2026-07-14",""
"au-ba-combination-22","University of Allahabad","Central University","","","B.A.-SANSKRIT HINDI MED. HISTORY","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 29","2025","2026-07-14",""
"au-ba-combination-23","University of Allahabad","Central University","","","B.A.-SITAR HINDI MED. HISTORY","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 30","2025","2026-07-14",""
"au-ba-combination-24","University of Allahabad","Central University","","","B.A.-SANSKRIT PHILOSOPHY ANC. HISTORY","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 31","2025","2026-07-14",""
"au-ba-combination-25","University of Allahabad","Central University","","","B.A.-VOCAL SANSKRIT HINDI","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 32","2025","2026-07-14",""
"au-ba-combination-26","University of Allahabad","Central University","","","B.A.-VOCAL SANSKRIT EDUCATION","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 33","2025","2026-07-14",""
"au-ba-combination-27","University of Allahabad","Central University","","","B.A.-VOCAL ENGLISH LIT. ECONOMICS","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 34","2025","2026-07-14",""
"au-ba-combination-28","University of Allahabad","Central University","","","B.A.-VOCAL ENGLISH LANG. EDUCATION","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 35","2025","2026-07-14",""
"au-ba-combination-29","University of Allahabad","Central University","","","B.A.-VOCAL ANC. HISTORY EDUCATION","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 36","2025","2026-07-14",""
"au-ba-combination-30","University of Allahabad","Central University","","","B.A.-VOCAL SANSKRIT EDUCATION","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 37","2025","2026-07-14",""
"au-ba-combination-31","University of Allahabad","Central University","","","B.A.-URDU MED. HISTORY ECONOMICS","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 38","2025","2026-07-14",""
"au-ba-combination-32","University of Allahabad","Central University","","","B.A.-URDU ENGLISH LIT. MED. HISTORY","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 39","2025","2026-07-14",""
"au-ba-combination-33","University of Allahabad","Central University","","","B.A.-URDU ENGLISH LIT. ANC. HISTORY","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 40","2025","2026-07-14",""
"au-ba-combination-34","University of Allahabad","Central University","","","B.A.-TABLA SANSKRIT HINDI","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 41","2025","2026-07-14",""
"au-ba-combination-35","University of Allahabad","Central University","","","B.A.-SANSKRIT HINDI PHILOSOPHY","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 42","2025","2026-07-14",""
"au-ba-combination-36","University of Allahabad","Central University","","","B.A.-TABLA SANSKRIT ENGLISH LIT.","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 43","2025","2026-07-14",""
"au-ba-combination-37","University of Allahabad","Central University","","","B.A.-TABLA ANC. HISTORY EDUCATION","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 44","2025","2026-07-14",""
"au-ba-combination-38","University of Allahabad","Central University","","","B.A.-SOCIOLOGY EDUCATION MED. HISTORY","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 45","2025","2026-07-14",""
"au-ba-combination-39","University of Allahabad","Central University","","","B.A.-SOCIOLOGY PHILOSOPHY ANC. HISTORY","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 46","2025","2026-07-14",""
"au-ba-combination-40","University of Allahabad","Central University","","","B.A.-SOCIOLOGY PSYCHOLOGY GEOGRAPHY","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 47","2025","2026-07-14",""
"au-ba-combination-41","University of Allahabad","Central University","","","B.A.-SOCIOLOGY ECONOMICS POL. SCIENCE","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 48","2025","2026-07-14",""
"au-ba-combination-42","University of Allahabad","Central University","","","B.A.-SITAR SANSKRIT POLITICAL SCIENCE","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 49","2025","2026-07-14",""
"ipu-bca-2025","Guru Gobind Singh Indraprastha University","State University","","","BCA","verified","Any","","50","verified","English (101) + Mathematics (319) + Computer Science/Information Practices (308) + General Test (501)","GGSIPU admission process / CUET merit route","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/guru-gobind-singh-indraprastha-university/ | https://ipu.admissions.nic.in/document/addendum-to-admission-brochure-for-bachelors-programme-2025-26-with-respect-to-chapter-1-3-admissions-through-the-merit-of-cuet-academic-session-2025-2026-dated-17-03-2025/ | https://ipu.admissions.nic.in/schedule-notices/","Guru Gobind Singh Indraprastha University | CUET UG programme information | Addendum to Admission Brochure for Bachelor Programmes 2025-26: admissions through CUET merit | GGSIPU Schedule Notices","NTA GGSIPU programme table row 1 | CUET merit route | 2025 CUET programme/cutoff notices","2025","2026-07-14","College-level affiliation, seats, category quota and historical closing scores require the programme-specific GGSIPU brochure/notice and are not inferred here."
"ipu-ba-economics-2025","Guru Gobind Singh Indraprastha University","State University","","","4-Year B.A. Economics","verified","Any","","50","verified","English (101) + Economics/Business Economics (309) + Mathematics/Applied Mathematics (319)","GGSIPU admission process / CUET merit route","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/guru-gobind-singh-indraprastha-university/ | https://ipu.admissions.nic.in/document/addendum-to-admission-brochure-for-bachelors-programme-2025-26-with-respect-to-chapter-1-3-admissions-through-the-merit-of-cuet-academic-session-2025-2026-dated-17-03-2025/ | https://ipu.admissions.nic.in/schedule-notices/","Guru Gobind Singh Indraprastha University | CUET UG programme information | Addendum to Admission Brochure for Bachelor Programmes 2025-26: admissions through CUET merit | GGSIPU Schedule Notices","NTA GGSIPU programme table row 4 | CUET merit route | 2025 CUET programme/cutoff notices","2025","2026-07-14","College-level affiliation, seats, category quota and historical closing scores require the programme-specific GGSIPU brochure/notice and are not inferred here."
"ipu-ba-english-2025","Guru Gobind Singh Indraprastha University","State University","","","4-Year B.A. English","verified","Any","","50","verified","English (101) + General Test (501)","GGSIPU admission process / CUET merit route","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/guru-gobind-singh-indraprastha-university/ | https://ipu.admissions.nic.in/document/addendum-to-admission-brochure-for-bachelors-programme-2025-26-with-respect-to-chapter-1-3-admissions-through-the-merit-of-cuet-academic-session-2025-2026-dated-17-03-2025/ | https://ipu.admissions.nic.in/schedule-notices/","Guru Gobind Singh Indraprastha University | CUET UG programme information | Addendum to Admission Brochure for Bachelor Programmes 2025-26: admissions through CUET merit | GGSIPU Schedule Notices","NTA GGSIPU programme table row 5 | CUET merit route | 2025 CUET programme/cutoff notices","2025","2026-07-14","College-level affiliation, seats, category quota and historical closing scores require the programme-specific GGSIPU brochure/notice and are not inferred here."
"ipu-bsc-environmental-science-2025","Guru Gobind Singh Indraprastha University","State University","","","B.Sc. Environmental Science","verified","Any","","50","verified","English (101) + Any one listed Section II subject + General Test (501)","GGSIPU admission process / CUET merit route","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/guru-gobind-singh-indraprastha-university/ | https://ipu.admissions.nic.in/document/addendum-to-admission-brochure-for-bachelors-programme-2025-26-with-respect-to-chapter-1-3-admissions-through-the-merit-of-cuet-academic-session-2025-2026-dated-17-03-2025/ | https://ipu.admissions.nic.in/schedule-notices/","Guru Gobind Singh Indraprastha University | CUET UG programme information | Addendum to Admission Brochure for Bachelor Programmes 2025-26: admissions through CUET merit | GGSIPU Schedule Notices","NTA GGSIPU programme table row 6 | CUET merit route | 2025 CUET programme/cutoff notices","2025","2026-07-14","College-level affiliation, seats, category quota and historical closing scores require the programme-specific GGSIPU brochure/notice and are not inferred here."
"ipu-bcom-hons-2025","Guru Gobind Singh Indraprastha University","State University","","","4-Year B.Com. (Hons.)","verified","Any","","50","verified","English (101) + General Test (501)","GGSIPU admission process / CUET merit route","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/guru-gobind-singh-indraprastha-university/ | https://ipu.admissions.nic.in/document/addendum-to-admission-brochure-for-bachelors-programme-2025-26-with-respect-to-chapter-1-3-admissions-through-the-merit-of-cuet-academic-session-2025-2026-dated-17-03-2025/ | https://ipu.admissions.nic.in/schedule-notices/","Guru Gobind Singh Indraprastha University | CUET UG programme information | Addendum to Admission Brochure for Bachelor Programmes 2025-26: admissions through CUET merit | GGSIPU Schedule Notices","NTA GGSIPU programme table row 19 | CUET merit route | 2025 CUET programme/cutoff notices","2025","2026-07-14","College-level affiliation, seats, category quota and historical closing scores require the programme-specific GGSIPU brochure/notice and are not inferred here."
