institutionId,institution,ntaType,ntaParticipationStatus,collegeInventoryStatus,programmeInventoryStatus,collegeCount,programmeCount,requiredNextDocuments,lastVerified,sourceUrl
"central-011","CENTRAL UNIVERSITY OF JAMMU","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-012","CENTRAL UNIVERSITY OF JHARKHAND","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-013","CENTRAL UNIVERSITY OF KARNATAKA","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-014","CENTRAL UNIVERSITY OF KASHMIR","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-015","CENTRAL UNIVERSITY OF KERALA","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-016","CENTRAL UNIVERSITY OF ODISHA","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-017","CENTRAL UNIVERSITY OF PUNJAB","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-018","CENTRAL UNIVERSITY OF RAJASTHAN","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-019","CENTRAL UNIVERSITY OF SOUTH BIHAR","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-020","CENTRAL UNIVERSITY OF TAMIL NADU","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-021","DR. HARISINGH GOUR VISHWAVIDYALAYA","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-022","GURU GHASIDAS VISHWAVIDYALAYA","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-023","HNB GARHWAL UNIVERSITY SRINAGAR GARHWAL","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-024","IIT DHARWAD","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-025","INDIRA GANDHI NATIONAL TRIBAL UNIVERSITY","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-026","JAMIA MILLIA ISLAMIA","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-027","JAWAHARLAL NEHRU UNIVERSITY","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-028","MAHATMA GANDHI ANTARRASHTRIYA HINDI VISHWAVIDYALAYA","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-029","MAHATMA GANDHI CENTRAL UNIVERSITY","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-030","MANIPUR UNIVERSITY","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-031","MAULANA AZAD NATIONAL URDU UNIVERSITY","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-032","MIZORAM UNIVERSITY","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-033","NAGALAND UNIVERSITY","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-034","NATIONAL SANSKRIT UNIVERSITY","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-035","NORTH-EASTERN HILL UNIVERSITY","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-036","PONDICHERRY UNIVERSITY","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-037","RAJIV GANDHI NATIONAL AVIATION UNIVERSITY","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-038","RAJIV GANDHI UNIVERSITY","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-039","SAMMAKKA SARAKKA CENTRAL TRIBAL UNIVERSITY","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-040","SHRI LAL BAHADUR SHASTRI NATIONAL SANSKRIT UNIVERSITY","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-041","SIKKIM UNIVERSITY, GANGTOK","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-042","SOUTH ASIAN UNIVERSITY","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-043","TEZPUR UNIVERSITY","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-044","THE ENGLISH AND FOREIGN LANGUAGES UNIVERSITY, HYDERABAD","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-045","TRIPURA UNIVERSITY","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-046","UNIVERSITY OF ALLAHABAD","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-047","UNIVERSITY OF DELHI","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-048","UNIVERSITY OF HYDERABAD","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-049","VISVA-BHARATI UNIVERSITY","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"state-001","BABA GHULAM SHAH UNIVERSITY","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-002","BARKATULLAH UNIVERSITY","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-003","BHATTADEV UNIVERSITY","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-004","BIRANGANA SATI SADHANI RAJYIK VISHWAVIDYALAYA, GOLAGHAT, ASSAM","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-005","CLUSTER UNIVERSITY OF JAMMU","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-006","CLUSTER UNIVERSITY OF SRINAGAR","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-007","DELHI TEACHERS UNIVERSITY","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-008","DELHI TECHNOLOGICAL UNIVERSITY","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-009","DEVI AHILYA VISHWAVIDYALAYA, INDORE (M.P.)","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-010","DIBRUGARH UNIVERSITY, DIBRUGARH, ASSAM","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-011","DR. A.P.J. ABDUL KALAM TECHNICAL UNIVERSITY, UTTAR PRADESH, LUCKNOW","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-012","DR. B.R. AMBEDKAR UNIVERSITY DELHI","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-013","DR. RAMMANOHAR LOHIA AVADH UNIVERSITY, AYODHYA(U.P.)","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-014","DR. SHAKUNTALA MISRA NATIONAL REHABILITATION UNIVERSITY, LUCKNOW","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-015","DR.B.R. AMBEDKAR SCHOOL OF ECONOMICS UNIVERSITY, BENGALURU","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-016","GAUTAM BUDDHA UNIVERSITY","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-017","GOVT. DEGREE COLLEGE (AUTONOMOUS) BARAMULLA","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-018","GURU GOBIND SINGH INDRAPRASTHA UNIVERSITY","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-019","HARCOURT BUTLER TECHNICAL UNIVERSITY KANPUR (UP)","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-020","INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-021","ISLAMIA COLLEGE OF SCIENCE AND COMMERCE SRINAGAR","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-022","ISLAMIC UNIVERSITY OF SCIENCE AND TECHNOLOGY, KASHMIR","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-023","JAGADGURU RAMBHADRACHARYA DIVYANG STATE UNIVERSITY","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-024","JAGANNATH BAROOAH UNIVERSITY, JORHAT","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-025","KUMAR BHASKAR VARMA SANSKRIT AND ANCIENT STUDIES UNIVERSITY","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-026","MADAN MOHAN MALAVIYA UNIVERSITY OF TECHNOLOGY","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-027","MADHABDEV UNIVERSITY","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-028","MAHARAJA CHHATRASAL BUNDELKHAND UNIVERSITY","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-029","MAHARAJA SURAJMAL BRIJ UNIVERSITY BHARATPUR","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-030","MAHARANA PRATAP HORTICULTURAL UNIVERSITY, KARNAL","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-031","MAKHANLAL CHATURVEDI UNIVERSITY","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-032","NAGAON UNIVERSITY","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-033","NORTH LAKHIMPUR UNIVERSITY","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-034","RATAN TATA MAHRASHTRA STATE SKILLS UNIVERSITY","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-035","SAMRAT VIKRMADITYA VISHWAVIDYALAY, UJJAIN (MP)","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-036","SARDAR PATEL UNIVERSITY OF POLICE, SECURITY AND CRIMINAL JUSTICE","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-037","SHRI MATA VAISHNO DEVI UNIVERSITY","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-038","SIBSAGAR UNIVERSITY","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-039","UNIVERSITY OF JAMMU","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-040","UNIVERSITY OF KASHMIR","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"state-041","UNIVERSITY OF LADAKH","State University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/state-universities/"
"deemed-001","AVINASHILINGAM INSTITUTE FOR HOME SCIENCE AND HIGHER EDUCATION FOR WOMEN","Deemed University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/deemed-universities/"
"deemed-002","CHINMAYA VISHWAVIDYAPEETH","Deemed University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/deemed-universities/"
"deemed-003","DAYALBAGH EDUCATIONAL INSTITUTE","Deemed University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/deemed-universities/"
"deemed-004","GITAM (VISHAKHAPATNAM)","Deemed University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/deemed-universities/"
"deemed-005","GITAM(BLR)","Deemed University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/deemed-universities/"
"deemed-006","GITAM(HYD)","Deemed University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/deemed-universities/"
"deemed-007","GOKHALE INSTITUTE OF POLITICS AND ECONOMICS","Deemed University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/deemed-universities/"
"deemed-008","GRAPHIC ERA UNIVERSITY, DEHRADUN, UTTARAKHAND","Deemed University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/deemed-universities/"
