parentInstitution,neededDocument,neededFields,currentStatus,suggestedOfficialRoute,doNotInfer
CENTRAL UNIVERSITY OF JHARKHAND,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
CENTRAL UNIVERSITY OF KARNATAKA,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
CENTRAL UNIVERSITY OF KASHMIR,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
CENTRAL UNIVERSITY OF KERALA,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
CENTRAL UNIVERSITY OF ODISHA,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
CENTRAL UNIVERSITY OF PUNJAB,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
CENTRAL UNIVERSITY OF RAJASTHAN,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
CENTRAL UNIVERSITY OF SOUTH BIHAR,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
CENTRAL UNIVERSITY OF TAMIL NADU,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
DR. HARISINGH GOUR VISHWAVIDYALAYA,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
GURU GHASIDAS VISHWAVIDYALAYA,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
HNB GARHWAL UNIVERSITY SRINAGAR GARHWAL,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
IIT DHARWAD,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
INDIRA GANDHI NATIONAL TRIBAL UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
JAMIA MILLIA ISLAMIA,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
JAWAHARLAL NEHRU UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
MAHATMA GANDHI ANTARRASHTRIYA HINDI VISHWAVIDYALAYA,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
MAHATMA GANDHI CENTRAL UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
MANIPUR UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
MAULANA AZAD NATIONAL URDU UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
MIZORAM UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
NAGALAND UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
NATIONAL SANSKRIT UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
NORTH-EASTERN HILL UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
PONDICHERRY UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
RAJIV GANDHI NATIONAL AVIATION UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
RAJIV GANDHI UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
SAMMAKKA SARAKKA CENTRAL TRIBAL UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
SHRI LAL BAHADUR SHASTRI NATIONAL SANSKRIT UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
"SIKKIM UNIVERSITY, GANGTOK",Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
SOUTH ASIAN UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
TEZPUR UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
"THE ENGLISH AND FOREIGN LANGUAGES UNIVERSITY, HYDERABAD",Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
TRIPURA UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
UNIVERSITY OF HYDERABAD,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
VISVA-BHARATI UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
BABA GHULAM SHAH UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
BARKATULLAH UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
BHATTADEV UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
"BIRANGANA SATI SADHANI RAJYIK VISHWAVIDYALAYA, GOLAGHAT, ASSAM",Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
CLUSTER UNIVERSITY OF JAMMU,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
CLUSTER UNIVERSITY OF SRINAGAR,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
DELHI TEACHERS UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
DELHI TECHNOLOGICAL UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
"DEVI AHILYA VISHWAVIDYALAYA, INDORE (M.P.)",Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
"DIBRUGARH UNIVERSITY, DIBRUGARH, ASSAM",Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
"DR. A.P.J. ABDUL KALAM TECHNICAL UNIVERSITY, UTTAR PRADESH, LUCKNOW",Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
DR. B.R. AMBEDKAR UNIVERSITY DELHI,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
"DR. RAMMANOHAR LOHIA AVADH UNIVERSITY, AYODHYA(U.P.)",Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
"DR. SHAKUNTALA MISRA NATIONAL REHABILITATION UNIVERSITY, LUCKNOW",Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
"DR.B.R. AMBEDKAR SCHOOL OF ECONOMICS UNIVERSITY, BENGALURU",Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
GAUTAM BUDDHA UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
GOVT. DEGREE COLLEGE (AUTONOMOUS) BARAMULLA,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
HARCOURT BUTLER TECHNICAL UNIVERSITY KANPUR (UP),Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
ISLAMIA COLLEGE OF SCIENCE AND COMMERCE SRINAGAR,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
"ISLAMIC UNIVERSITY OF SCIENCE AND TECHNOLOGY, KASHMIR",Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
JAGADGURU RAMBHADRACHARYA DIVYANG STATE UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
"JAGANNATH BAROOAH UNIVERSITY, JORHAT",Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
KUMAR BHASKAR VARMA SANSKRIT AND ANCIENT STUDIES UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
MADAN MOHAN MALAVIYA UNIVERSITY OF TECHNOLOGY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
MADHABDEV UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
MAHARAJA CHHATRASAL BUNDELKHAND UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
MAHARAJA SURAJMAL BRIJ UNIVERSITY BHARATPUR,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
"MAHARANA PRATAP HORTICULTURAL UNIVERSITY, KARNAL",Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
MAKHANLAL CHATURVEDI UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
NAGAON UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
NORTH LAKHIMPUR UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
RATAN TATA MAHRASHTRA STATE SKILLS UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
"SAMRAT VIKRMADITYA VISHWAVIDYALAY, UJJAIN (MP)",Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
